交差点番号,管理者名,交差点名,地先名,緯度,経度
6240550502,函館市,豊川,函館市豊川,41.7676578591988 ,140.7218275524120 
6240550504,函館市,,函館市宝来町１９,41.7600504483745 ,140.7219446328080 
6240550509,函館市,,函館市西桔梗町８２７,41.8240010639901 ,140.7222243674950 
6240550512,函館市,,函館市豊川町４,41.7644707601894 ,140.7223401833820 
6240550517,函館市,豊川,函館市豊川,41.7672120971711 ,140.7223858595780 
6240550521,函館市,,函館市大手町９,41.7689868880069 ,140.7225524119750 
6240550523,函館市,,函館市宝来町２６,41.7603545992838 ,140.7226153878590 
6240550532,渡島総合振興局 函館建設管理部,,函館市港町１丁目,41.8007497289598 ,140.7229214375190 
6240550542,函館市,,函館市西桔梗町,41.8271173807515 ,140.7230782816090 
6240550545,函館市,,函館市豊川町１８,41.7651790361204 ,140.7232400615970 
6240550549,函館市,,函館市東川町５,41.7606629183114 ,140.7233486369660 
6240550575,函館市,,函館市東川町５,41.7609846942879 ,140.7240620255470 
6240550577,函館市,,函館市豊川町１９,41.7659206388840 ,140.7240607785210 
6240550579,函館市,,函館市北浜町８,41.7989916476982 ,140.7241880865970 
6240550596,函館市,,函館市西桔梗町５５５番,41.8218472331718 ,140.7246367672900 
6240550611,函館市,,函館市東川町６,41.7617545035648 ,140.7249609286850 
6240550623,函館市,,函館市北浜町,41.7972585562398 ,140.7252255885710 
6240550625,函館市,,函館市旭町６,41.7669788814071 ,140.7252439446360 
6240550632,函館市,,函館市東川町１６,41.7622419621512 ,140.7255191837910 
6240550646,函館市,,函館市西桔梗町５８９番１２３,41.8300046155474 ,140.7257528752370 
6240550652,函館市,,函館市東川町２０,41.7625419366058 ,140.7258608024930 
6240550653,函館市,,函館市西桔梗町５８９番１６３,41.8271716273659 ,140.7258405258110 
6240550657,函館市,,函館市西桔梗町５５５番,41.8194809298506 ,140.7271075069790 
6240550664,函館市,,函館市大手町１４,41.7677996394533 ,140.7260063291350 
6240550668,函館市,亀田港町１,函館市港町,41.8047410167629 ,140.7262250788600 
6240550679,函館市,,函館市東川町２０,41.7630293953229 ,140.7264232238830 
6240550697,函館市,,函館市東雲町５,41.7687995455252 ,140.7268645282060 
6240550701,函館市,,函館市海岸町３９番１,41.7832019760638 ,140.7269803801400 
6240550706,函館市,,函館市浅野町３番１,41.7942589781218 ,140.7271255824410 
6240550709,函館市,,函館市万代町３１番３,41.7865390794310 ,140.7271885080340 
6240550716,函館市,,函館市栄町１４,41.7637376678712 ,140.7272147786710 
6240550723,函館市,,函館市旭町,41.7655291206376 ,140.7272938381440 
6240550725,函館市,,函館市大手町１６,41.7694661478356 ,140.7273811104400 
6240550746,函館市,,函館市若松町１,41.7701614294767 ,140.7279217243190 
6240550750,函館市,,函館市海岸町３１番２,41.7885430069976 ,140.7272842206630 
6240550768,函館市,,函館市若松町２２番９,41.7753404694158 ,140.7283765248360 
