小字名,市区町村名,地番,大字名,center_lng,center_lat
字貫気別,沙流郡平取町,長狭物不明-2113,,142.233788,42.666141
字貫気別,沙流郡平取町,33-9,,142.234286,42.665503
字貫気別,沙流郡平取町,33-1,,142.234213,42.665996
字貫気別,沙流郡平取町,33-13,,142.2349,42.665498
字貫気別,沙流郡平取町,33-16,,142.234807,42.665489
字貫気別,沙流郡平取町,33-17,,142.234713,42.665627
字貫気別,沙流郡平取町,33-18,,142.234693,42.665653
字貫気別,沙流郡平取町,33-7,,142.234485,42.665662
字貫気別,沙流郡平取町,33-4,,142.234507,42.665553
字貫気別,沙流郡平取町,33-3,,142.234569,42.665465
字貫気別,沙流郡平取町,33-12,,142.234733,42.665321
字貫気別,沙流郡平取町,33-15,,142.235006,42.665334
字貫気別,沙流郡平取町,33-14,,142.234896,42.665252
字貫気別,沙流郡平取町,33-6,,142.234733,42.665177
字貫気別,沙流郡平取町,無地番-2035,,142.234524,42.665076
字貫気別,沙流郡平取町,17-2,,142.234358,42.664936
字貫気別,沙流郡平取町,17-8,,142.234203,42.665056
字貫気別,沙流郡平取町,17-10,,142.23426,42.665097
字貫気別,沙流郡平取町,33-10,,142.234416,42.665326
字貫気別,沙流郡平取町,33-8,,142.234303,42.66548
字貫気別,沙流郡平取町,32-13,,142.233437,42.665288
字貫気別,沙流郡平取町,17-4,,142.235053,42.664069
字貫気別,沙流郡平取町,17-3,,142.234774,42.664414
字貫気別,沙流郡平取町,19-2,,142.235371,42.664781
字貫気別,沙流郡平取町,19-6,,142.236076,42.664367
字貫気別,沙流郡平取町,19-5,,142.235707,42.664388
字貫気別,沙流郡平取町,19-1,,142.235253,42.66447
字貫気別,沙流郡平取町,19-3,,142.235575,42.664103
字貫気別,沙流郡平取町,19-4,,142.235924,42.664067
字貫気別,沙流郡平取町,18-7,,142.236505,42.664272
字貫気別,沙流郡平取町,8-14,,142.236576,42.663756
字貫気別,沙流郡平取町,18-6,,142.236596,42.664099
字貫気別,沙流郡平取町,18-8,,142.236686,42.664438
字貫気別,沙流郡平取町,20-11,,142.236763,42.66452
字貫気別,沙流郡平取町,20-24,,142.236852,42.664557
字貫気別,沙流郡平取町,20-10,,142.236517,42.664592
字貫気別,沙流郡平取町,19-7,,142.236436,42.664509
字貫気別,沙流郡平取町,20-22,,142.236656,42.664615
字貫気別,沙流郡平取町,20-9,,142.236118,42.664711
字貫気別,沙流郡平取町,20-8,,142.23688,42.664514
字貫気別,沙流郡平取町,20-19,,142.236159,42.664758
字貫気別,沙流郡平取町,20-3,,142.236143,42.664829
字貫気別,沙流郡平取町,20-4,,142.23652,42.664879
字貫気別,沙流郡平取町,21-12,,142.236479,42.665406
字貫気別,沙流郡平取町,20-2,,142.236775,42.665312
字貫気別,沙流郡平取町,20-27,,142.236339,42.665367
字貫気別,沙流郡平取町,21-6,,142.23643,42.665473
字貫気別,沙流郡平取町,20-1,,142.235781,42.665039
字貫気別,沙流郡平取町,19-8,,142.235075,42.665018
字貫気別,沙流郡平取町,20-31,,142.235258,42.665054
字貫気別,沙流郡平取町,20-28,,142.235519,42.665163
字貫気別,沙流郡平取町,33-5,,142.234847,42.665164
字貫気別,沙流郡平取町,33-11,,142.235635,42.665452
字貫気別,沙流郡平取町,33-2,,142.235327,42.665649
字貫気別,沙流郡平取町,34-2,,142.236138,42.665594
字貫気別,沙流郡平取町,34-4,,142.236506,42.665631
字貫気別,沙流郡平取町,21-7,,142.236711,42.665542
字貫気別,沙流郡平取町,21-13,,142.236775,42.665495
字貫気別,沙流郡平取町,36-5,,142.236722,42.666104
字貫気別,沙流郡平取町,38-6,,142.236658,42.667067
