Rosen_Code,Rosen_Name
"01000400026000","帯広停車場線"
"01000400027000","北見津別線"
"01000400028000","当別浜益港線"
"01000400029000","上磯厚沢部線"
"01000400030000","三笠栗山線"
"01000400031000","音更池田線"
"01000400032000","豊浦ニセコ線"
"01000400033000","美唄月形線"
"01000400034000","襟裳公園線"
"01000400035000","根室半島線"
"01000400036000","余市赤井川線"
"01000400037000","鷹栖東神楽線"
"01000400038000","夕張岩見沢線"
"01000400040000","礼文島線"
"01000400041000","函館恵山線"
"01000400042000","八雲北檜山線"
"01000400042001","主要地方道４２号複線１"
"01000400043000","大沼公園鹿部線"
"01000400043001","大沼公園鹿部線（複線０１）"
"01000400043002","大沼公園鹿部線"
"01000400044000","石狩手稲線"
"01000400045000","恵庭栗山線"
"01000400046000","江別恵庭線"
"01000400047000","深川雨竜線"
"01000400048000","和寒幌加内線"
"01000400049000","美深雄武線"
"01000400050000","北見置戸線"
"01000400051000","津別陸別線"
"01000400052000","屈斜路摩周湖畔線"
"01000400053000","釧路鶴居弟子屈線"
"01000400054000","東瓜幕芽室線"
"01000400055000","清水大樹線"
"01000400056000","本別浦幌線"
"01000400057000","旭川深川線"
"01000400058000","倶知安ニセコ線"
"01000400059000","平取厚真線"
"01000400060000","下川雄武線"
"01000400061000","士別滝の上線"
"01000400062000","豊頃糠内芽室線"
"01000400063000","函館空港線"
"01000400064000","女満別空港線"
"01000400065000","釧路空港線"
"01000400066000","岩内洞爺線"
"01000400067000","八雲厚沢部線"
"01000400068000","旭川空港線"
"01000400068001","旭川空港線"
"01000400069000","中標津空港線"
"01000400070000","芦別美瑛線"
"01000400071000","平取静内線"
"01000400072000","旭川幌加内線"
"01000400073000","帯広浦幌線"
"01000400073002","帯広浦幌線"
"01000400074000","穂別鵡川線"
"01000400075000","帯広新得線"
"01000400076000","網走公園線"
"01000400077000","千歳インター線"
"01000400078000","支笏湖線"
"01000400079000","深川豊里線"
"01000400080000","平取門別線"
"01000400081000","岩見沢石狩線"
"01000400082000","西野真駒内清田線"
"01000400083000","函館南茅部線"
"01000400084000","豊富浜頓別線"
"01000400085000","鹿追糠平線"
"01000400086000","白老大滝線"
"01000400086001","白老大滝線（複線０１）"
"01000400086002","公園通"
"01000400086086","白老大滝線"
"01000400087000","知床公園羅臼線"
