交差点番号,管理者名,交差点名,地先名,緯度,経度,整理番号,備考
6240550632,函館市,,函館市東川町１６,41.76224196,140.7255192,,
6240550646,函館市,,函館市西桔梗町５８９番１２３,41.83000462,140.7257529,,
6240550652,函館市,,函館市東川町２０,41.76254194,140.7258608,,
6240550653,函館市,,函館市西桔梗町５８９番１６３,41.82717163,140.7258405,,
6240550657,函館市,,函館市西桔梗町５５５番,41.81948093,140.7271075,,
6240550664,函館市,,函館市大手町１４,41.76779964,140.7260063,,
6240550668,函館市,亀田港町１,函館市港町,41.80474102,140.7262251,,
6240550679,函館市,,函館市東川町２０,41.7630294,140.7264232,,
6240550697,函館市,,函館市東雲町５,41.76879955,140.7268645,,
6240550701,函館市,,函館市海岸町３９番１,41.78320198,140.7269804,,
6240550706,函館市,,函館市浅野町３番１,41.79425898,140.7271256,,
6240550709,函館市,,函館市万代町３１番３,41.78653908,140.7271885,,
6240550716,函館市,,函館市栄町１４,41.76373767,140.7272148,,
6240550723,函館市,,函館市旭町,41.76552912,140.7272938,,
6240550725,函館市,,函館市大手町１６,41.76946615,140.7273811,,
6240550746,函館市,,函館市若松町１,41.77016143,140.7279217,,
6240550750,函館市,,函館市海岸町３１番２,41.78854301,140.7272842,,
6240550768,函館市,,函館市若松町２２番９,41.77534047,140.7283765,,
6240550769,函館市,,函館市大森町１,41.76480008,140.7284188,,
6240550776,函館市,,函館市松風町６,41.77084102,140.7284684,,
6240550793,函館市,,函館市万代町３２番１０,41.78864305,140.7290174,,
6240550797,函館市,,函館市松風町６,41.77154095,140.7290433,,
6240550798,函館市,,函館市万代町３０番１,41.78465187,140.7291301,,
6240550799,函館市,,函館市万代町３２番７,41.78648915,140.72918,,
6240550815,函館市,,函館市海岸町５６番８,41.78312706,140.729451,,
6240550833,函館市,,函館市大森町２,41.76590832,140.7296894,,
6240550884,函館市,,函館市松風町２０,41.77335328,140.7305306,,
6240550890,函館市,,函館市松風町２０,41.7735081,140.7306468,,
6240550908,函館市,,函館市桔梗町４１８,41.8340168,140.7312896,,
6240550916,函館市,,函館市大森町３,41.76656662,140.7312309,,
6240550932,函館市,,函館市若松町２５,41.77456566,140.7315179,,
6240550944,函館市,,函館市大森町５,41.76703742,140.7321891,,
6240550972,函館市,,函館市新川町５,41.77571972,140.7325261,,
6240550992,函館市,,函館市新川町５,41.77625252,140.7329723,,
6240551007,函館市,,函館市大森町７,41.7674874,140.7331432,,
6240551012,函館市,,函館市亀田町４,41.79217609,140.7334001,,
6240551027,函館市,,函館市新川町１８,41.7770071,140.7336176,,
6240551050,函館市,,函館市亀田町４,41.79207196,140.7340584,,
6240551054,函館市,,函館市亀田町３,41.7906513,140.734071,,
6240551063,函館市,,函館市大縄町１,41.77764454,140.73413,,
6240551065,函館市,,函館市大森町１２,41.76794154,140.7341639,,
6240551076,函館市,,函館市八幡町６,41.79200948,140.7344875,,
6240551079,函館市,,函館市大縄町１,41.778032,140.7344675,,
6240551081,渡島総合振興局 函館建設管理部,,函館市万代町,41.78919732,140.7345377,,
6240551082,渡島総合振興局 函館建設管理部,新川町１,函館市松風町,41.77277847,140.7343386,,
6240551088,函館市,,函館市新川町３４,41.77822782,140.7346216,,
