小字名,QGIS_ID,地番,version,大字名,市町村C,測地判別,予備名,丁目名,市町村名,center_lng,center_lat
字開盛,01558無地番-2,無地番-2,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.531113,44.099569
字開盛,01558無地番-4,無地番-4,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.52651,44.090591
字開盛,01558無地番-5,無地番-5,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.527181,44.090725
字開盛,01558無地番-6,無地番-6,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.506582,44.089681
字開盛,01558無地番-7,無地番-7,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.533056,44.106205
字開盛,01558道-1,道-1,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.532651,44.102603
字開盛,01558水-1,水-1,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.5385,44.114284
字開盛,01558長狭物不明-1,長狭物不明-1,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.540791,44.112755
字南兵村一区,01558無地番-9,無地番-9,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.554329,44.11805
字南兵村一区,01558無地番-10,無地番-10,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.573618,44.106245
字南兵村一区,01558無地番-11,無地番-11,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.552341,44.107255
